layer_name,mean,std,count,implementation
avgpool,59.572,,1,CPU
bn1,3045.78,,1,CPU
conv1,305665.0,,1,CPU
fc,2390.59,,1,CPU
layer1,1177080.0,,1,CPU
layer2,19388000.0,,1,CPU
layer3,17364500.0,,1,CPU
layer4,945074.0,,1,CPU
maxpool,3515.33,,1,CPU
relu1,152.773,,1,CPU
avgpool,71.23100000000001,,1,OpenMP
bn1,4499.86,,1,OpenMP
conv1,49328.5,,1,OpenMP
fc,1626.72,,1,OpenMP
layer1,175733.0,,1,OpenMP
layer2,173291.0,,1,OpenMP
layer3,151387.0,,1,OpenMP
layer4,147885.0,,1,OpenMP
maxpool,3827.27,,1,OpenMP
relu1,162.22400000000002,,1,OpenMP
avgpool,65.872,,1,CUDA
bn1,4871.21,,1,CUDA
conv1,2895.88,,1,CUDA
fc,1736.78,,1,CUDA
layer1,18371700.0,,1,CUDA
layer2,12885.400000000001,,1,CUDA
layer3,13639.5,,1,CUDA
layer4,22023.5,,1,CUDA
maxpool,3704.8999999999996,,1,CUDA
relu1,53.701,,1,CUDA
